Designator,Mid X,Mid Y,Rotation,Layer
C1,58.150000,-43.550000,0.000000,top
C2,57.637500,-36.700000,180.000000,top
C3,62.750000,-43.550000,180.000000,top
C4,56.646000,-57.400000,90.000000,top
C5,58.946000,-57.578500,90.000000,top
C6,43.400000,-57.800000,90.000000,top
D1,51.500000,-42.400000,180.000000,top
D2,57.437500,-63.600000,0.000000,top
J3,50.000000,-50.000000,180.000000,top
L1,40.850000,-39.500000,0.000000,top
Q1,51.000000,-36.576000,180.000000,top
R1,60.400000,-39.850000,180.000000,top
R2,57.446000,-60.816000,180.000000,top
R3,40.596000,-57.716000,270.000000,top
R4,37.946000,-57.716000,90.000000,top
R5,60.500000,-62.337500,90.000000,top
R6,42.846000,-62.578500,90.000000,top
R7,47.800000,-56.200000,0.000000,top
U1,61.500000,-35.400000,90.000000,top
U2,49.896000,-60.716000,0.000000,top
