Comment,Designator,Footprint,LCSC
MWSA0603-100MT,L1,L_Sumida_CDMC6D28_7.25x6.5mm,C132141
BSC022N04LSATMA,Q1,TDSON-8-1,C148266
100u/16V,C1,C_1210_3225Metric,C15850
10k0,"R2,R6,R7",R_0805_2012Metric,C17414
4n70,C6,C_0805_2012Metric,C1744
4k75,R5,R_0805_2012Metric,C17673
6k81,R4,R_0805_2012Metric,C17772
82k5,R3,R_0805_2012Metric,C17840
SS54,D1,D_SMA,C22452
LED blau,D2,LED_0805_2012Metric,C2286
MAX16820ATT,U1,SON95P300X300X80-7N,C2678567
100n,"C2,C5",C_0805_2012Metric,C49678
22u0/16V,"C4,C7",C_0805_2012Metric,C602037
ATtiny45-20SU,U2,SOIJ-8_5.3x5.3mm_P1.27mm,C62689
0R070,R1,R_2512_6332Metric,C76251
CMFB103F3950FANT,R8,R_0805_2012Metric,C95968
