Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100u/16V,C_1210_3225Metric,51.4,-42.8,180.0,top
C2,100n,C_0805_2012Metric,51.6,-39.9,180.0,top
C4,22u0/16V,C_0805_2012Metric,56.646,-57.616,90.0,top
C5,100n,C_0805_2012Metric,58.946,-57.5785,90.0,top
C6,4n70,C_0805_2012Metric,43.4,-57.8,90.0,top
C7,22u0/16V,C_0805_2012Metric,58.7,-34.1,0.0,top
D1,SS54,D_SMA,51.4,-36.9,180.0,top
D2,LED blau,LED_0805_2012Metric,57.4375,-63.6,0.0,top
L1,MWSA0603-100MT,L_Sumida_CDMC6D28_7.25x6.5mm,37.8,-40.7,90.0,top
Q1,BSC022N04LSATMA,TDSON-8-1,44.6,-40.3,90.0,top
R1,0R070,R_2512_6332Metric,58.2,-42.4,180.0,top
R2,10k0,R_0805_2012Metric,57.446,-60.816,180.0,top
R3,82k5,R_0805_2012Metric,40.596,-57.716,-90.0,top
R4,6k81,R_0805_2012Metric,37.946,-57.716,90.0,top
R5,4k75,R_0805_2012Metric,60.5,-62.3375,90.0,top
R6,10k0,R_0805_2012Metric,42.846,-62.5785,90.0,top
R7,10k0,R_0805_2012Metric,47.8,-56.2,0.0,top
R8,CMFB103F3950FANT,R_0805_2012Metric,40.2,-62.6,-90.0,top
U1,MAX16820ATT,SON95P300X300X80-7N,58.6,-37.8,90.0,top
U2,ATtiny45-20SU,SOIJ-8_5.3x5.3mm_P1.27mm,49.896,-60.716,0.0,top
