Comment,Designator,Footprint,LCSC
MWSA0603-100MT,L1,L_Sumida_CDMC6D28_7.25x6.5mm,C132141
MAX16820ATT,U1,SON95P300X300X80-7N,C143371
BSC022N04LSATMA,Q1,TDSON-8-1,C148266
JST_B3B-PH-SM4-TB(LF)(SN),J3,JST_PH_B3B-PH-SM4-TB_1x03-1MP_P2.00mm_Vertical,C160353
10k0,"R2,R6",R_0805_2012Metric,C17414
4n70,"C7,C8",C_0805_2012Metric,C1744
4k75,R5,R_0805_2012Metric,C17673
470r,R8,R_0805_2012Metric,C17710
6k81,R4,R_0805_2012Metric,C17772
82k5,R3,R_0805_2012Metric,C17840
SS54,D1,D_SMA,C22452
100n,"C2,C6",C_0805_2012Metric,C49678
ATtiny1616-M,U2,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,C507118
CMFB103F3950FANT,R7,R_0805_2012Metric,C51597
22u0 / 25V,"C1,C4,C5",C_0805_2012Metric,C602037
0R070,R1,R_2512_6332Metric,C76251
LED blau,D2,LED_0805_2012Metric,C84256
