Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22u0 / 25V,C_0805_2012Metric,51.4,-42.8,180.0,top
C2,100n,C_0805_2012Metric,51.6,-39.9,180.0,top
C4,22u0 / 25V,C_0805_2012Metric,58.6,-34.04,0.0,top
C5,22u0 / 25V,C_0805_2012Metric,58.04,-58.1425,90.0,top
C6,100n,C_0805_2012Metric,55.914,-58.144,90.0,top
C7,4n70,C_0805_2012Metric,39.6475,-58.225,90.0,top
C8,4n70,C_0805_2012Metric,41.9675,-62.39,-90.0,top
D1,SS54,D_SMA,51.4,-36.9,180.0,top
D2,LED blau,LED_0805_2012Metric,55.9,-62.1225,-90.0,top
J3,JST_B3B-PH-SM4-TB(LF)(SN),JST_PH_B3B-PH-SM4-TB_1x03-1MP_P2.00mm_Vertical,50.0,-50.0,180.0,top
L1,MWSA0603-100MT,L_Sumida_CDMC6D28_7.25x6.5mm,37.8,-40.7,90.0,top
Q1,BSC022N04LSATMA,TDSON-8-1,44.6,-40.3,90.0,top
R1,0R070,R_2512_6332Metric,58.2,-42.4,180.0,top
R2,10k0,R_0805_2012Metric,53.67,-58.1525,90.0,top
R3,82k5,R_0805_2012Metric,44.2075,-58.1975,-90.0,top
R4,6k81,R_0805_2012Metric,41.9875,-58.2175,90.0,top
R5,4k75,R_0805_2012Metric,58.09,-62.14,90.0,top
R6,10k0,R_0805_2012Metric,44.2875,-62.41,90.0,top
R7,CMFB103F3950FANT,R_0805_2012Metric,39.4475,-62.39,-90.0,top
R8,470r,R_0805_2012Metric,53.69,-62.12,-90.0,top
U1,MAX16820ATT,SON95P300X300X80-7N,58.6,-37.8,90.0,top
U2,ATtiny1616-M,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,49.62,-59.99,180.0,top
